run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,target_cat,target_cat_pos,start_cat,start_cat_pos,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,12,1.6,leg,1,leg_1,1,1,6,11,5,3,1,6,1,1,11.25,2500,1000,1000,2900.005625995923,0,1804.6703883891769,7500.0,16715.9260143851,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,shape,2,shape_2,2,2,9,18,13,7,1,9,2,1,0.0,2500,1000,1000,2048.730451137317,0,1436.3583818713887,8125.0,16110.088833008705,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,food,1,food_1,3,3,8,15,14,7,2,8,1,1,0.0,2500,1000,1000,2516.3070798436675,0,1825.2151431235645,10625.0,19466.522222967233,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,hand,2,hand_2,4,4,1,2,17,9,1,1,2,1,0.0,2500,1000,1000,2108.3552301480763,0,1540.0733543835806,9375.0,17523.428584531655,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,face,2,face_2,5,5,3,6,1,1,1,3,2,1,0.0,2500,1000,1000,2269.6874318572654,0,1803.084244914673,8125.0,16697.77167677194,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,house,2,house_2,6,6,2,4,17,9,1,2,2,1,0.0,2500,1000,1000,2666.041412332241,1000,1324.189952647296,8125.0,17615.231364979536,1,1,6,10,5,2,3750.0,6.0,1.0,11.0,-1,1.0,1,1
1,1,14,1.6,tool,2,tool_2,7,7,5,10,6,3,2,5,2,1,0.0,2500,1000,1000,2582.1181922794613,1000,1336.9774566356323,8750.0,18169.095648915092,1,1,7,17,9,1,4375.0,10.0,2.0,20.0,1,-1.0,1,1
1,1,15,1.6,object,1,object_1,8,8,7,13,10,5,2,7,1,1,0.0,2500,1000,1000,2777.261541303126,0,1529.2937128396427,9375.0,18181.555254142768,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,animal,1,animal_1,9,9,4,7,3,2,1,4,1,1,0.0,2500,1000,1000,2009.8702326400403,0,1740.1082560766772,8750.0,16999.97848871672,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,house,2,house_2,10,10,2,4,2,1,2,2,2,1,9.0,2500,1000,1000,2388.7749590376156,0,1496.6495889784026,8000.0,16394.424548016017,1,0,0,0,0,0,0.0,,,,0,,1,1
