run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,target_cat,target_cat_pos,start_cat,start_cat_pos,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,15,1.6,hand,1,hand_1,1,1,1,1,16,8,2,1,1,1,11.25,2500,1000,1000,2367.2854253245946,0,1738.6507703381926,9375.0,17992.186195662787,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,house,1,house_1,2,2,2,3,18,9,2,2,1,1,0.0,2500,1000,1000,2585.843919476166,0,1278.6432760992468,9375.0,17739.487195575413,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,face,2,face_2,3,3,3,6,18,9,2,3,2,1,0.0,2500,1000,1000,2406.768224893452,0,1806.7864516771972,7500.0,16213.55467657065,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,food,2,food_2,4,4,8,16,11,6,1,8,2,1,0.0,2500,1000,1000,2955.8988781702365,0,1256.1969294304547,8125.0,16837.095807600694,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,animal,1,animal_1,5,5,4,7,6,3,2,4,1,1,0.0,2500,1000,1000,2388.279462367873,0,1654.8567705561284,10625.0,19168.136232924,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,tool,1,tool_1,6,6,5,9,8,4,2,5,1,1,0.0,2500,1000,1000,2693.506883149453,1000,1327.746853904008,10625.0,20146.253737053463,1,1,11,2,1,2,6875.0,2.0,1.0,3.0,1,-1.0,1,1
1,1,16,1.6,object,1,object_1,7,7,7,13,11,6,1,7,1,1,0.0,2500,1000,1000,2062.645588013455,0,1788.5694063541273,10000.0,18351.214994367583,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,shape,2,shape_2,8,8,9,18,13,7,1,9,2,1,0.0,2500,1000,1000,2729.630478625888,0,1359.7879623517772,8125.0,16714.418440977664,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,leg,2,leg_2,9,9,6,12,8,4,2,6,2,1,0.0,2500,1000,1000,2413.5139414459077,0,1337.4942214856032,8750.0,17001.00816293151,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,animal,1,animal_1,10,10,4,7,5,3,1,4,1,1,9.0,2500,1000,1000,2596.5376797233744,0,1253.9704046680447,8000.0,16359.50808439142,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,13,2.0,food,2,food_2,11,11,8,16,11,6,1,8,2,1,0.0,2500,1000,1000,2384.6166785351575,0,1128.138441564968,6500.0,14512.755120100126,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,12,2.0,shape,1,shape_1,12,12,9,17,11,6,1,9,1,1,0.0,2500,1000,1000,2179.072955652341,0,1136.2221867335827,6000.0,13815.295142385923,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,13,2.0,leg,2,leg_2,13,13,6,12,7,4,1,6,2,1,0.0,2500,1000,1000,2677.8844659166703,0,1122.4890284006826,6500.0,14800.373494317353,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,face,1,face_1,14,14,3,5,3,2,1,3,1,1,0.0,2500,1000,1000,2344.638941938569,0,1007.9625196102784,8000.0,15852.601461548848,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,tool,1,tool_1,15,15,5,9,8,4,2,5,1,1,0.0,2500,1000,1000,2532.6212051481043,0,1443.3131496446238,8500.0,16975.934354792727,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,house,2,house_2,16,16,2,4,3,2,1,2,2,1,0.0,2500,1000,1000,2278.7918556410355,0,1094.5240403173186,8500.0,16373.315895958352,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,15,2.0,object,1,object_1,17,17,7,13,10,5,2,7,1,1,0.0,2500,1000,1000,2365.02598438702,1000,1004.9361190596082,7500.0,16369.962103446629,1,1,10,5,3,1,5000.0,4.0,2.0,8.0,-1,1.0,1,1
1,2,15,2.0,hand,2,hand_2,18,18,1,2,17,9,1,1,2,1,0.0,2500,1000,1000,2125.9722577104135,0,1320.3427841333933,7500.0,15446.315041843805,1,0,0,0,0,0,0.0,,,,0,,1,1
1,3,13,1.6,leg,1,leg_1,19,19,6,11,6,3,2,6,1,1,11.25,2500,1000,1000,2528.362829127846,0,1318.552376070514,8125.0,16483.165205198362,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,15,1.6,animal,2,animal_2,20,20,4,8,5,3,1,4,2,1,0.0,2500,1000,1000,2433.4237856872073,0,1440.4799255080893,9375.0,17748.903711195297,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,14,1.6,face,1,face_1,21,21,3,5,1,1,1,3,1,1,0.0,2500,1000,1000,2341.1567733939187,1000,1589.1848913740264,8750.0,18180.341664767948,0,1,8,13,7,1,5000.0,8.0,2.0,16.0,1,-1.0,1,1
1,3,16,1.6,tool,2,tool_2,22,22,5,10,8,4,2,5,2,1,0.0,2500,1000,1000,2630.646057247102,0,1640.1517656664985,10000.0,18770.7978229136,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,16,1.6,hand,2,hand_2,23,23,1,2,18,9,2,1,2,1,0.0,2500,1000,1000,2141.9449383927927,0,1463.6445022983632,10000.0,18105.589440691158,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,17,1.6,shape,1,shape_1,24,24,9,17,16,8,2,9,1,1,0.0,2500,1000,1000,2175.222433206917,1000,1694.3269972461735,10625.0,19994.549430453088,0,1,10,9,5,1,6250.0,6.0,2.0,12.0,-1,1.0,1,1
1,3,12,1.6,food,1,food_1,25,25,8,15,9,5,1,8,1,1,0.0,2500,1000,1000,2218.2959834116227,0,1323.9135706299223,7500.0,15542.209554041545,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,12,1.6,house,2,house_2,26,26,2,4,16,8,2,2,2,1,0.0,2500,1000,1000,2171.9674938024414,0,1384.3626236525354,7500.0,15556.330117454978,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,14,1.6,object,2,object_2,27,27,7,14,10,5,2,7,2,1,0.0,2500,1000,1000,2774.1300434370355,1000,1735.309188869677,8750.0,18759.43923230671,0,1,8,4,2,2,5000.0,3.0,1.0,5.0,-1,1.0,1,1
1,4,13,2.0,shape,2,shape_2,28,28,9,18,13,7,1,9,2,1,9.0,2500,1000,1000,2386.6025237576155,0,1340.2601857601353,6500.0,14735.86270951775,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,hand,1,hand_1,29,29,1,1,15,8,1,1,1,1,0.0,2500,1000,1000,2789.894941341634,0,1019.375846085214,7000.0,15309.270787426847,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,17,2.0,object,2,object_2,30,30,7,14,13,7,1,7,2,1,0.0,2500,1000,1000,2230.9195768373147,0,1320.6007281927712,8500.0,16551.520305030084,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,12,2.0,food,1,food_1,31,31,8,15,9,5,1,8,1,1,0.0,2500,1000,1000,2062.691164320336,1000,1389.9039182624388,6000.0,14952.595082582775,0,1,8,5,3,1,4000.0,4.0,2.0,8.0,-1,1.0,1,1
1,4,16,2.0,leg,1,leg_1,32,32,6,11,9,5,1,6,1,1,0.0,2500,1000,1000,2185.824951961391,0,1390.452355134362,8000.0,16076.277307095752,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,animal,2,animal_2,33,33,4,8,4,2,2,4,2,1,0.0,2500,1000,1000,2171.1746669996955,0,1369.7452956241711,7000.0,15040.919962623866,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,face,2,face_2,34,34,3,6,2,1,2,3,2,1,0.0,2500,1000,1000,2518.925723761676,0,1283.5860018094231,7000.0,15302.5117255711,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,12,2.0,tool,2,tool_2,35,35,5,10,4,2,2,5,2,1,0.0,2500,1000,1000,2264.3462850453866,0,1164.8923881752748,6000.0,13929.238673220661,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,15,2.0,house,1,house_1,36,36,2,3,18,9,2,2,1,1,0.0,2500,1000,1000,2188.368346671263,0,1094.354538740231,7500.0,15282.722885411495,0,0,0,0,0,0,0.0,,,,0,,1,1
2,1,15,2.0,animal,2,animal_2,1,37,4,8,5,3,1,4,2,1,9.0,2500,1000,1000,2921.5795513376443,1000,1450.7387020549781,7500.0,17381.318253392623,1,1,11,1,1,1,5500.0,2.0,2.0,4.0,-1,1.0,1,1
2,1,13,2.0,food,1,food_1,2,38,8,15,10,5,2,8,1,1,0.0,2500,1000,1000,2617.801878073451,0,1100.3871979835828,6500.0,14718.189076057033,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,12,2.0,house,2,house_2,3,39,2,4,16,8,2,2,2,1,0.0,2500,1000,1000,2188.3365061866116,0,1166.4448483306664,6000.0,13854.781354517278,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,14,2.0,shape,2,shape_2,4,40,9,18,14,7,2,9,2,1,0.0,2500,1000,1000,2048.4006111280523,0,1438.2661138122116,7000.0,14986.666724940264,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,15,2.0,hand,1,hand_1,5,41,1,1,16,8,2,1,1,1,0.0,2500,1000,1000,2513.7523959741325,0,1088.7581703967014,7500.0,15602.510566370835,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,16,2.0,object,1,object_1,6,42,7,13,11,6,1,7,1,1,0.0,2500,1000,1000,2499.1343849401983,0,1492.4540375891181,8000.0,16491.588422529316,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,12,2.0,tool,1,tool_1,7,43,5,9,3,2,1,5,1,1,0.0,2500,1000,1000,2073.604175184079,0,1288.9509064464817,6000.0,13862.55508163056,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,17,2.0,leg,1,leg_1,8,44,6,11,10,5,2,6,1,1,0.0,2500,1000,1000,2706.012642250772,0,1076.9387449714234,8500.0,16782.951387222194,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,17,2.0,face,1,face_1,9,45,3,5,4,2,2,3,1,1,0.0,2500,1000,1000,2920.3851984380835,0,1485.2644976649992,8500.0,17405.649696103083,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,13,1.6,food,1,food_1,10,46,8,15,10,5,2,8,1,1,11.25,2500,1000,1000,2768.996509340528,0,1284.9219593722632,8125.0,16690.168468712793,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,17,1.6,tool,2,tool_2,11,47,5,10,9,5,1,5,2,1,0.0,2500,1000,1000,2333.2512593077213,1000,1499.9260101004174,10625.0,19958.177269408137,1,1,12,4,2,2,7500.0,3.0,1.0,5.0,-1,1.0,1,1
2,2,16,1.6,animal,2,animal_2,12,48,4,8,6,3,2,4,2,1,0.0,2500,1000,1000,2701.027026444672,1000,1619.4826412278724,10000.0,19820.509667672544,1,1,11,1,1,1,6875.0,2.0,2.0,4.0,1,-1.0,1,1
2,2,13,1.6,face,2,face_2,13,49,3,6,1,1,1,3,2,1,0.0,2500,1000,1000,2110.292793395649,0,1677.6277683985127,8125.0,16412.920561794162,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,17,1.6,object,1,object_1,14,50,7,13,12,6,2,7,1,1,0.0,2500,1000,1000,2963.350536278584,0,1316.8990542836334,10625.0,19405.249590562216,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,15,1.6,leg,2,leg_2,15,51,6,12,9,5,1,6,2,1,0.0,2500,1000,1000,2737.7547272787083,1000,1565.6043459829002,9375.0,19178.359073261607,1,1,10,4,2,2,6250.0,3.0,1.0,5.0,-1,1.0,1,1
2,2,14,1.6,shape,2,shape_2,16,52,9,18,14,7,2,9,2,1,0.0,2500,1000,1000,2100.1867203533275,0,1277.05587639616,8750.0,16627.242596749486,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,16,1.6,house,1,house_1,17,53,2,3,1,1,1,2,1,1,0.0,2500,1000,1000,2138.0564737035475,0,1488.3699926047238,10000.0,18126.426466308272,1,0,0,0,0,0,0.0,,,,0,,1,1
2,2,17,1.6,hand,2,hand_2,18,54,1,2,1,1,1,1,2,1,0.0,2500,1000,1000,2409.4379194899707,1000,1260.12186709812,10625.0,19794.55978658809,1,1,8,10,5,2,5000.0,6.0,1.0,11.0,-1,1.0,1,1
2,3,16,2.0,house,1,house_1,19,55,2,3,1,1,1,2,1,1,9.0,2500,1000,1000,2019.7521808366528,0,1098.8135817064083,8000.0,15627.565762543061,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,13,2.0,tool,2,tool_2,20,56,5,10,5,3,1,5,2,1,0.0,2500,1000,1000,2018.4626565545946,0,1129.4683392352604,6500.0,14147.930995789855,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,15,2.0,face,2,face_2,21,57,3,6,3,2,1,3,2,1,0.0,2500,1000,1000,2491.605533504211,0,1071.362372562951,7500.0,15562.967906067162,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,16,2.0,hand,2,hand_2,22,58,1,2,18,9,2,1,2,1,0.0,2500,1000,1000,2014.9540225288117,0,1430.9573499040498,8000.0,15945.911372432862,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,12,2.0,object,2,object_2,23,59,7,14,8,4,2,7,2,1,0.0,2500,1000,1000,2307.0911290177846,0,1414.7806810448753,6000.0,14221.87181006266,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,13,2.0,shape,1,shape_1,24,60,9,17,12,6,2,9,1,1,0.0,2500,1000,1000,2735.9887650945875,0,1278.050679769124,6500.0,15014.03944486371,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,14,2.0,leg,2,leg_2,25,61,6,12,8,4,2,6,2,1,0.0,2500,1000,1000,2271.702487431734,0,1389.2424908072305,7000.0,15160.944978238964,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,14,2.0,food,2,food_2,26,62,8,16,12,6,2,8,2,1,0.0,2500,1000,1000,2477.5955105250673,0,1396.2916734938874,7000.0,15373.887184018955,1,0,0,0,0,0,0.0,,,,0,,1,1
2,3,17,2.0,animal,1,animal_1,27,63,4,7,6,3,2,4,1,1,0.0,2500,1000,1000,2099.2376018949835,0,1361.740496450123,8500.0,16460.978098345106,1,0,0,0,0,0,0.0,,,,0,,1,1
