runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,3,15,1,1,1.2,16,5,13,5,0.0,2063.042317169855,2546.002,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,15396.375,5,1
2,1,2,5,1,1,1.2,13,2,18,6,0.0,2425.429177971316,2378.116,10833.333,,1,3,14999.993999999999,2700,1000,1000.0,6,11,4,2,5000.0,0,0,13258.762,5,0
3,1,1,7,1,1,1.2,15,3,4,2,0.0,2354.0080590002854,2274.765,12500.0,,1,1,14999.993999999999,2700,1000,1000.0,10,17,6,2,8333.333,0,0,14854.008,5,0
4,1,2,14,1,1,1.2,15,5,11,4,1000.0,2003.9594762093,2694.669,12500.0,,1,2,14999.993999999999,2700,1000,0.0,6,2,1,2,5000.0,1,1,14503.959,5,0
5,1,3,6,1,1,1.2,15,2,3,1,1000.0,1687.6476736735608,2657.585,12500.0,,1,3,14999.993999999999,2700,1000,0.0,11,17,6,2,9166.667,1,-1,14187.648,5,0
6,1,1,13,1,1,1.2,14,5,9,3,0.0,2153.8615723279045,2599.809,11666.667,,1,3,14999.993999999999,2700,1000,1000.0,10,5,2,2,8333.333,0,0,13820.529,5,0
7,1,3,6,2,2,2.0,14,2,2,1,0.0,1053.8161811954144,2445.866,7000.0,,1,2,9000.0,2700,1000,1000.0,8,14,5,2,4000.0,0,0,8053.816,5,1
8,1,2,14,2,2,2.0,12,5,8,3,0.0,1188.0134787375575,2653.103,6000.0,,1,2,9000.0,2700,1000,1000.0,6,2,1,2,3000.0,0,0,7188.013,5,0
9,1,1,16,2,2,2.0,12,6,10,4,1000.0,1136.3919318939893,2657.958,6000.0,,1,1,9000.0,2700,1000,0.0,7,5,2,2,3500.0,1,-1,7136.392,5,0
10,1,1,4,2,2,2.0,16,2,2,1,0.0,1232.853436701556,2644.558,8000.0,,1,2,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,9232.853,5,0
11,1,3,3,2,2,2.0,13,1,16,6,0.0,1314.4669271014307,2870.532,6500.0,,1,1,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7814.467,5,0
12,1,1,10,2,2,2.0,14,4,6,2,1000.0,1230.9500233180336,2492.317,7000.0,,1,3,9000.0,2700,1000,0.0,7,17,6,2,3500.0,1,1,8230.95,5,0
13,1,2,8,3,3,1.2,12,3,2,1,0.0,2408.1813491229013,2483.997,10000.0,,1,2,14999.993999999999,2700,1000,1000.0,9,17,6,2,7500.0,0,0,12408.181,5,1
14,1,3,15,3,3,1.2,15,5,12,4,0.0,1749.6191269503074,2365.839,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,14249.619,5,0
15,1,1,4,3,3,1.2,13,2,17,6,0.0,2376.753763489962,2568.491,10833.333,,1,2,14999.993999999999,2700,1000,1000.0,7,11,4,2,5833.333,0,0,13210.087,5,0
16,1,2,2,3,3,1.2,14,1,16,6,0.0,2000.0364640282355,2773.929,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13666.703,5,0
17,1,2,2,3,3,1.2,13,1,15,5,0.0,2103.2502215434174,2341.582,10833.333,,1,3,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,12936.583,5,0
18,1,2,8,3,3,1.2,16,3,6,2,0.0,1840.9770917605417,2099.051,13333.333,,1,3,14999.993999999999,2700,1000,1000.0,12,2,1,2,10000.0,0,0,15174.31,5,0
19,1,3,9,4,4,2.0,16,3,7,3,0.0,1010.6251750222974,2145.27,8000.0,,1,1,9000.0,2700,1000,1000.0,8,17,6,2,4000.0,0,0,9010.625,5,1
20,1,3,9,4,4,2.0,15,3,6,2,0.0,1007.6543235832573,2701.058,7500.0,,1,3,9000.0,2700,1000,1000.0,11,2,1,2,5500.0,0,0,8507.654,5,0
21,1,1,10,4,4,2.0,16,4,8,3,0.0,1155.9599288730203,2279.977,8000.0,,1,2,9000.0,2700,1000,1000.0,7,17,6,2,3500.0,0,0,9155.96,5,0
22,1,1,16,4,4,2.0,17,6,15,5,0.0,1302.6914602517772,2611.406,8500.0,,1,3,9000.0,2700,1000,1000.0,13,11,4,2,6500.0,0,0,9802.691,5,0
23,1,2,5,4,4,2.0,17,2,4,2,0.0,1145.8538743554575,2982.459,8500.0,,1,1,9000.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,9645.854,5,0
24,1,1,10,4,4,2.0,13,4,5,2,1000.0,1099.0971511162065,2757.689,6500.0,,1,2,9000.0,2700,1000,0.0,7,17,6,2,3500.0,1,-1,7599.097,5,0
25,1,3,18,5,5,1.2,16,6,16,6,0.0,1954.4734164306706,2491.375,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,15287.806,5,1
