runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,3,6,1,1,2.0,12,2,18,6,0.0,1040.507345057984,2734.853,6000.0,,1,3,9000.0,2700,1000,1000.0,8,14,5,2,4000.0,0,0,7040.507,8,1
2,1,2,14,1,1,2.0,17,5,13,5,0.0,1108.035257229372,2423.825,8500.0,,1,1,9000.0,2700,1000,1000.0,12,8,3,2,6000.0,0,0,9608.035,8,0
3,1,3,3,1,1,2.0,17,1,2,1,0.0,1275.444270661109,2156.115,8500.0,,1,2,9000.0,2700,1000,1000.0,11,14,5,2,5500.0,0,0,9775.444,8,0
4,1,1,4,1,1,2.0,15,2,1,1,0.0,1277.0832723808446,2817.673,7500.0,,1,1,9000.0,2700,1000,1000.0,7,11,4,2,3500.0,0,0,8777.083,8,0
5,1,3,18,1,1,2.0,12,6,12,4,1000.0,1395.7273260519996,2386.071,6000.0,,1,3,9000.0,2700,1000,0.0,8,8,3,2,4000.0,1,-1,7395.727,8,0
6,1,1,13,1,1,2.0,16,5,11,4,0.0,1163.440436249297,2783.582,8000.0,,1,2,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,9163.44,8,0
7,1,2,5,2,2,1.2,12,2,17,6,0.0,2160.9797608071876,2489.412,10000.0,,1,2,14999.993999999999,2700,1000,1000.0,9,14,5,2,7500.0,0,0,12160.98,8,1
8,1,1,7,2,2,1.2,14,3,3,1,0.0,1703.3555424143792,2150.899,11666.667,,1,3,14999.993999999999,2700,1000,1000.0,10,17,6,2,8333.333,0,0,13370.023,8,0
9,1,3,9,2,2,1.2,17,3,8,3,1000.0,1973.1314830369956,2357.595,14166.667,,1,2,14999.993999999999,2700,1000,0.0,8,17,6,2,6666.667,1,1,16139.798,8,0
10,1,1,4,2,2,1.2,17,2,3,1,0.0,2061.31107048784,2312.444,14166.667,,1,3,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,16227.978,8,0
11,1,1,4,2,2,1.2,14,2,18,6,0.0,1695.6331410674545,2265.101,11666.667,,1,3,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,13362.3,8,0
