runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,2,2,1,1,1.2,13,1,7,3,0.0,2241.4172547635835,2953.986,10833.333,,-1,1,14166.661,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13074.75,2,1
2,1,1,1,1,1,1.2,17,1,2,1,0.0,2408.52589961007,2209.313,14166.667,,-1,2,14166.661,2700,1000,1000.0,14,5,2,2,11666.667,0,0,16575.193,2,0
3,1,1,16,1,1,1.2,17,6,17,6,0.0,1661.8096201133367,2150.721,14166.667,,-1,2,14166.661,2700,1000,1000.0,11,5,2,2,9166.667,0,0,15828.477,2,0
4,1,3,6,1,1,1.2,17,2,7,3,0.0,2243.825298323383,2354.068,14166.667,,-1,1,14166.661,2700,1000,1000.0,10,14,5,2,8333.333,0,0,16410.492,2,0
5,1,1,13,1,1,1.2,17,5,14,5,0.0,1733.2268037100648,2205.153,14166.667,,-1,2,14166.661,2700,1000,1000.0,8,5,2,2,6666.667,0,0,15899.894,2,0
6,1,2,17,1,1,1.2,13,6,4,2,0.0,1770.7788945727598,2744.619,10833.333,,-1,1,14166.661,2700,1000,1000.0,9,8,3,2,7500.0,0,0,12604.112,2,0
7,1,1,16,2,2,2.0,12,6,4,2,0.0,1408.6059105393133,2020.533,6000.0,,-1,1,8500.0,2700,1000,1000.0,8,8,3,2,4000.0,0,0,7408.606,2,1
8,1,2,5,2,2,2.0,17,2,6,2,0.0,1051.7848131306505,2808.409,8500.0,,-1,3,8500.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,9551.785,2,0
9,1,2,11,2,2,2.0,15,4,14,5,1000.0,1299.516451625917,2659.936,7500.0,,-1,2,8500.0,2700,1000,0.0,9,2,1,2,4500.0,1,1,8799.516,2,0
10,1,3,15,2,2,2.0,12,5,3,1,0.0,1315.9747576806176,2465.124,6000.0,,-1,3,8500.0,2700,1000,1000.0,7,8,3,2,3500.0,0,0,7315.975,2,0
11,1,1,10,2,2,2.0,16,4,12,4,0.0,1252.4805341485724,2575.49,8000.0,,-1,3,8500.0,2700,1000,1000.0,11,17,6,2,5500.0,0,0,9252.481,2,0
12,1,1,1,2,2,2.0,15,1,4,2,0.0,1141.715553772761,2171.518,7500.0,,-1,1,8500.0,2700,1000,1000.0,11,8,3,2,5500.0,0,0,8641.716,2,0
13,1,3,15,3,3,1.2,13,5,2,1,0.0,2273.861964555476,2245.103,10833.333,,-1,2,14166.661,2700,1000,1000.0,7,8,3,2,5833.333,0,0,13107.195,2,1
14,1,1,10,3,3,1.2,12,4,16,6,0.0,1730.4310226519076,2237.572,10000.0,,-1,1,14166.661,2700,1000,1000.0,5,5,2,2,4166.667,0,0,11730.431,2,0
15,1,3,18,3,3,1.2,17,6,1,1,0.0,1787.1447375827772,2060.616,14166.667,,-1,1,14166.661,2700,1000,1000.0,10,8,3,2,8333.333,0,0,15953.812,2,0
16,1,2,8,3,3,1.2,13,3,13,5,0.0,2461.9466743534567,2915.803,10833.333,,-1,1,14166.661,2700,1000,1000.0,6,2,1,2,5000.0,0,0,13295.28,2,0
17,1,1,13,3,3,1.2,13,5,18,6,0.0,1859.2125127920508,2335.245,10833.333,,-1,3,14166.661,2700,1000,1000.0,5,8,3,2,4166.667,0,0,12692.546,2,0
18,1,1,1,3,3,1.2,12,1,7,3,0.0,2080.4247971711675,2478.147,10000.0,,-1,1,14166.661,2700,1000,1000.0,8,11,4,2,6666.667,0,0,12080.425,2,0
19,1,2,14,4,4,2.0,12,5,2,1,0.0,1223.205812296279,2581.878,6000.0,,-1,2,8500.0,2700,1000,1000.0,6,8,3,2,3000.0,0,0,7223.206,2,1
20,1,2,2,4,4,2.0,16,1,4,2,0.0,1264.9073405116994,2656.823,8000.0,,-1,1,8500.0,2700,1000,1000.0,9,11,4,2,4500.0,0,0,9264.907,2,0
21,1,3,12,4,4,2.0,13,4,17,6,1000.0,1145.773657556971,2590.303,6500.0,,-1,2,8500.0,2700,1000,0.0,10,2,1,2,5000.0,1,1,7645.774,2,0
22,1,3,12,4,4,2.0,12,4,18,6,0.0,1493.1619295867606,2522.685,6000.0,,-1,3,8500.0,2700,1000,1000.0,7,5,2,2,3500.0,0,0,7493.162,2,0
23,1,3,12,4,4,2.0,14,4,16,6,0.0,1179.8021332862468,2389.467,7000.0,,-1,1,8500.0,2700,1000,1000.0,10,2,1,2,5000.0,0,0,8179.802,2,0
24,1,3,12,4,4,2.0,14,4,16,6,1000.0,1474.3699944145715,2827.269,7000.0,,-1,1,8500.0,2700,1000,0.0,10,2,1,2,5000.0,1,1,8474.37,2,0
25,1,1,7,5,5,1.2,12,3,13,5,0.0,1685.1000887504536,2446.658,10000.0,,-1,1,14166.661,2700,1000,1000.0,8,17,6,2,6666.667,0,0,11685.1,2,1
26,1,1,1,5,5,1.2,17,1,2,1,1000.0,2317.314376791188,2515.837,14166.667,,-1,2,14166.661,2700,1000,0.0,11,8,3,2,9166.667,1,-1,16483.981,2,0
27,1,3,9,5,5,1.2,17,3,10,4,1000.0,2058.951438573059,2435.014,14166.667,,-1,1,14166.661,2700,1000,0.0,13,14,5,2,10833.333,1,-1,16225.618,2,0
28,1,3,3,5,5,1.2,12,1,9,3,0.0,1842.0080854688085,2586.216,10000.0,,-1,3,14166.661,2700,1000,1000.0,7,14,5,2,5833.333,0,0,11842.008,2,0
29,1,1,7,5,5,1.2,16,3,9,3,0.0,2053.5189036946203,2605.893,13333.333,,-1,3,14166.661,2700,1000,1000.0,11,14,5,2,9166.667,0,0,15386.852,2,0
30,1,2,11,5,5,1.2,17,4,12,4,0.0,2254.5645304873588,2156.2,14166.667,,-1,3,14166.661,2700,1000,1000.0,9,2,1,2,7500.0,0,0,16421.232,2,0
31,1,1,13,6,6,2.0,17,5,14,5,0.0,1125.8675282113234,2931.217,8500.0,,-1,2,8500.0,2700,1000,1000.0,11,2,1,2,5500.0,0,0,9625.868,2,1
32,1,1,13,6,6,2.0,14,5,17,6,0.0,1468.0807810637739,2975.239,7000.0,,-1,2,8500.0,2700,1000,1000.0,11,2,1,2,5500.0,0,0,8468.081,2,0
33,1,2,11,6,6,2.0,12,4,17,6,0.0,1382.5811527458445,2994.237,6000.0,,-1,2,8500.0,2700,1000,1000.0,6,5,2,2,3000.0,0,0,7382.581,2,0
34,1,3,3,6,6,2.0,17,1,4,2,1000.0,1197.2099984758895,2939.689,8500.0,,-1,1,8500.0,2700,1000,0.0,7,14,5,2,3500.0,1,1,9697.21,2,0
35,1,1,10,6,6,2.0,12,4,16,6,0.0,1066.7789335568177,2408.266,6000.0,,-1,1,8500.0,2700,1000,1000.0,8,2,1,2,4000.0,0,0,7066.779,2,0
