runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
28,1,1,10,5,5,2.0,17,4,11,4,0.0,1045.2686772459824,2793.176,8500.0,,-1,2,9000.0,2700,1000,1000.0,11,17,6,2,5500.0,0,0,9545.269,6,0
29,1,2,8,5,5,2.0,14,3,12,4,0.0,1412.8131837923017,2729.367,7000.0,,-1,3,9000.0,2700,1000,1000.0,9,17,6,2,4500.0,0,0,8412.813,6,0
30,1,3,6,5,5,2.0,13,2,11,4,0.0,1167.4427807479633,2941.976,6500.0,,-1,2,9000.0,2700,1000,1000.0,7,17,6,2,3500.0,0,0,7667.443,6,0
31,1,3,15,6,6,1.2,12,5,3,1,0.0,1696.4401150784563,2518.053,10000.0,,-1,3,14999.993999999999,2700,1000,1000.0,7,8,3,2,5833.333,0,0,11696.44,6,1
32,1,2,5,6,6,1.2,16,2,7,3,0.0,2097.8838315143093,2881.84,13333.333,,-1,1,14999.993999999999,2700,1000,1000.0,9,14,5,2,7500.0,0,0,15431.217,6,0
33,1,1,10,6,6,1.2,15,4,13,5,0.0,1757.8865517560575,2177.819,12500.0,,-1,1,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,14257.887,6,0
34,1,3,15,6,6,1.2,15,5,18,6,0.0,1800.9962408103945,2609.996,12500.0,,-1,3,14999.993999999999,2700,1000,1000.0,7,8,3,2,5833.333,0,0,14300.996,6,0
35,1,1,13,6,6,1.2,13,5,18,6,0.0,2102.653873887351,2277.742,10833.333,,-1,3,14999.993999999999,2700,1000,1000.0,5,8,3,2,4166.667,0,0,12935.987,6,0
36,1,3,3,6,6,1.2,12,1,9,3,0.0,1996.4794799468018,2601.815,10000.0,,-1,3,14999.993999999999,2700,1000,1000.0,7,14,5,2,5833.333,0,0,11996.479,6,0
1,2,1,7,7,1,1.2,17,3,8,3,0.0,1778.04385780492,2468.642,14166.667,,-1,2,14999.993999999999,2700,1000,1000.0,11,14,5,2,9166.667,0,0,15944.711,6,1
2,2,1,16,7,1,1.2,17,6,17,6,0.0,1876.9127566567702,2404.128,14166.667,,-1,2,14999.993999999999,2700,1000,1000.0,14,2,1,2,11666.667,0,0,16043.58,6,0
3,2,2,2,7,1,1.2,16,1,4,2,1000.0,2318.166618648539,2248.477,13333.333,,-1,1,14999.993999999999,2700,1000,0.0,9,11,4,2,7500.0,1,-1,15651.5,6,0
