runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,3,9,1,1,2.0,14,3,5,2,0.0,1254.482527745835,2808.68,7000.0,,1,2,9000.0,2700,1000,1000.0,8,17,6,2,4000.0,0,0,8254.483,9,1
2,1,3,15,1,1,2.0,16,5,13,5,0.0,1061.1076357877919,2087.139,8000.0,,1,1,9000.0,2700,1000,1000.0,8,5,2,2,4000.0,0,0,9061.108,9,0
3,1,1,1,1,1,2.0,17,1,18,6,0.0,1219.4556854845137,2365.675,8500.0,,1,3,9000.0,2700,1000,1000.0,13,14,5,2,6500.0,0,0,9719.456,9,0
4,1,1,13,1,1,2.0,14,5,9,3,0.0,1405.7939245983766,2530.712,7000.0,,1,3,9000.0,2700,1000,1000.0,7,2,1,2,3500.0,0,0,8405.794,9,0
5,1,3,6,1,1,2.0,17,2,5,2,0.0,1450.4889059348438,2691.35,8500.0,,1,2,9000.0,2700,1000,1000.0,11,17,6,2,5500.0,0,0,9950.489,9,0
6,1,1,10,1,1,2.0,12,4,4,2,0.0,1114.5849772492052,2127.406,6000.0,,1,1,9000.0,2700,1000,1000.0,7,17,6,2,3500.0,0,0,7114.585,9,0
7,1,1,4,2,2,1.2,16,2,2,1,0.0,2029.881609280292,2166.64,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,15363.215,9,1
8,1,1,10,2,2,1.2,13,4,5,2,0.0,2383.643165651679,2224.734,10833.333,,1,2,14999.993999999999,2700,1000,1000.0,10,2,1,2,8333.333,0,0,13216.976,9,0
9,1,1,4,2,2,1.2,15,2,1,1,0.0,2048.555591305143,2228.357,12500.0,,1,1,14999.993999999999,2700,1000,1000.0,7,11,4,2,5833.333,0,0,14548.556,9,0
10,1,3,12,2,2,1.2,15,4,9,3,0.0,2342.3303010120944,2453.664,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,14842.33,9,0
