runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,1,16,1,1,1.2,13,6,3,1,1000.0,2119.7657617646983,2468.6,10833.333,,-1,3,14999.993999999999,2700,1000,0.0,5,11,4,2,4166.667,1,-1,12953.099,4,1
2,1,2,14,1,1,1.2,15,5,17,6,0.0,2006.2502918872456,2564.099,12500.0,,-1,2,14999.993999999999,2700,1000,1000.0,9,5,2,2,7500.0,0,0,14506.25,4,0
3,1,3,15,1,1,1.2,14,5,1,1,0.0,1946.6267717176906,2685.294,11666.667,,-1,1,14999.993999999999,2700,1000,1000.0,10,5,2,2,8333.333,0,0,13613.294,4,0
4,1,3,15,1,1,1.2,15,5,18,6,1000.0,2206.3909882694616,2863.341,12500.0,,-1,3,14999.993999999999,2700,1000,0.0,10,5,2,2,8333.333,1,-1,14706.391,4,0
5,1,1,10,1,1,1.2,14,4,14,5,0.0,1990.1152704252177,2667.79,11666.667,,-1,2,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,13656.782,4,0
6,1,3,15,1,1,1.2,14,5,1,1,0.0,2338.7716467851205,2942.317,11666.667,,-1,1,14999.993999999999,2700,1000,1000.0,10,5,2,2,8333.333,0,0,14005.439,4,0
7,1,3,18,2,2,2.0,15,6,3,1,0.0,1079.1467725910095,2803.248,7500.0,,-1,3,9000.0,2700,1000,1000.0,7,11,4,2,3500.0,0,0,8579.147,4,1
8,1,3,9,2,2,2.0,16,3,11,4,0.0,1029.6777745500729,2351.845,8000.0,,-1,2,9000.0,2700,1000,1000.0,13,14,5,2,6500.0,0,0,9029.678,4,0
9,1,2,17,2,2,2.0,17,6,18,6,0.0,1076.4572803044161,2314.601,8500.0,,-1,3,9000.0,2700,1000,1000.0,12,5,2,2,6000.0,0,0,9576.457,4,0
10,1,1,7,2,2,2.0,15,3,10,4,0.0,1359.356266099431,2306.355,7500.0,,-1,1,9000.0,2700,1000,1000.0,8,17,6,2,4000.0,0,0,8859.356,4,0
11,1,2,17,2,2,2.0,12,6,5,2,0.0,1492.1351144289654,2308.685,6000.0,,-1,2,9000.0,2700,1000,1000.0,6,11,4,2,3000.0,0,0,7492.135,4,0
12,1,3,9,2,2,2.0,14,3,13,5,0.0,1427.5523728994026,2623.402,7000.0,,-1,1,9000.0,2700,1000,1000.0,10,17,6,2,5000.0,0,0,8427.552,4,0
13,1,1,1,3,3,1.2,17,1,2,1,0.0,1762.4723961228453,2677.74,14166.667,,-1,2,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,15929.139,4,1
14,1,3,9,3,3,1.2,14,3,13,5,0.0,1922.2253502838012,2588.643,11666.667,,-1,1,14999.993999999999,2700,1000,1000.0,7,2,1,2,5833.333,0,0,13588.892,4,0
