runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
1,1,3,6,1,1,2.0,13,2,11,4,0.0,1471.1107221435273,2564.738,6500.0,,-1,2,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,7971.111,3,1
2,1,3,12,1,1,2.0,17,4,13,5,0.0,1179.6941273276925,2999.433,8500.0,,-1,1,9000.0,2700,1000,1000.0,13,17,6,2,6500.0,0,0,9679.694,3,0
3,1,2,17,1,1,2.0,15,6,2,1,0.0,1444.1871794360068,2730.39,7500.0,,-1,2,9000.0,2700,1000,1000.0,9,8,3,2,4500.0,0,0,8944.187,3,0
4,1,2,5,1,1,2.0,17,2,6,2,0.0,1188.9064887958184,2407.495,8500.0,,-1,3,9000.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,9688.906,3,0
5,1,3,9,1,1,2.0,16,3,11,4,0.0,1040.2136786297701,2262.177,8000.0,,-1,2,9000.0,2700,1000,1000.0,10,17,6,2,5000.0,0,0,9040.214,3,0
6,1,1,7,1,1,2.0,17,3,8,3,0.0,1115.6139009454923,2579.467,8500.0,,-1,2,9000.0,2700,1000,1000.0,11,14,5,2,5500.0,0,0,9615.614,3,0
7,1,1,1,2,2,1.2,12,1,7,3,0.0,1784.9837909447192,2198.728,10000.0,,-1,1,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,11784.984,3,1
8,1,1,16,2,2,1.2,15,6,1,1,0.0,2464.3567344799735,2705.681,12500.0,,-1,1,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,14964.357,3,0
9,1,3,18,2,2,1.2,15,6,3,1,0.0,1953.092380818439,2805.995,12500.0,,-1,3,14999.993999999999,2700,1000,1000.0,10,8,3,2,8333.333,0,0,14453.092,3,0
10,1,1,4,2,2,1.2,17,2,5,2,1000.0,2415.7869421073233,2036.319,14166.667,,-1,2,14999.993999999999,2700,1000,0.0,14,8,3,2,11666.667,1,1,16582.454,3,0
11,1,2,8,2,2,1.2,15,3,11,4,1000.0,2043.3251865335312,2349.601,12500.0,,-1,2,14999.993999999999,2700,1000,0.0,12,14,5,2,10000.0,1,1,14543.325,3,0
12,1,1,16,2,2,1.2,12,6,4,2,0.0,1998.2920619529107,2354.041,10000.0,,-1,1,14999.993999999999,2700,1000,1000.0,5,11,4,2,4166.667,0,0,11998.292,3,0
13,1,1,4,3,3,2.0,14,2,8,3,0.0,1121.4720652243116,2641.291,7000.0,,-1,2,9000.0,2700,1000,1000.0,8,14,5,2,4000.0,0,0,8121.472,3,1
14,1,2,8,3,3,2.0,16,3,10,4,1000.0,1397.1533262066898,2952.623,8000.0,,-1,1,9000.0,2700,1000,0.0,12,14,5,2,6000.0,1,-1,9397.153,3,0
15,1,1,1,3,3,2.0,13,1,6,2,0.0,1013.1015651376212,2654.418,6500.0,,-1,3,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7513.102,3,0
16,1,2,8,3,3,2.0,17,3,9,3,0.0,1241.0057685747622,2825.359,8500.0,,-1,3,9000.0,2700,1000,1000.0,12,14,5,2,6000.0,0,0,9741.006,3,0
17,1,3,6,3,3,2.0,13,2,11,4,0.0,1179.4045657989893,2469.767,6500.0,,-1,2,9000.0,2700,1000,1000.0,7,17,6,2,3500.0,0,0,7679.405,3,0
18,1,3,15,3,3,2.0,17,5,16,6,0.0,1126.1236048934948,2384.603,8500.0,,-1,1,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,9626.124,3,0
19,1,1,10,4,4,1.2,16,4,12,4,0.0,2264.8971166772712,2754.806,13333.333,,-1,3,14999.993999999999,2700,1000,1000.0,11,17,6,2,9166.667,0,0,15598.23,3,1
20,1,1,10,4,4,1.2,17,4,11,4,0.0,2191.4902968961296,2391.121,14166.667,,-1,2,14999.993999999999,2700,1000,1000.0,11,17,6,2,9166.667,0,0,16358.157,3,0
21,1,3,3,4,4,1.2,15,1,6,2,1000.0,1965.9334835326556,2622.042,12500.0,,-1,3,14999.993999999999,2700,1000,0.0,7,14,5,2,5833.333,1,-1,14465.933,3,0
22,1,3,18,4,4,1.2,15,6,3,1,0.0,2092.6062284617547,2327.285,12500.0,,-1,3,14999.993999999999,2700,1000,1000.0,10,8,3,2,8333.333,0,0,14592.606,3,0
23,1,2,8,4,4,1.2,13,3,13,5,0.0,2278.888126357042,2246.299,10833.333,,-1,1,14999.993999999999,2700,1000,1000.0,6,2,1,2,5000.0,0,0,13112.221,3,0
24,1,2,8,4,4,1.2,12,3,14,5,0.0,1786.6602335388197,2813.361,10000.0,,-1,2,14999.993999999999,2700,1000,1000.0,6,2,1,2,5000.0,0,0,11786.66,3,0
25,1,3,3,5,5,2.0,15,1,6,2,0.0,1153.1579522582877,2550.69,7500.0,,-1,3,9000.0,2700,1000,1000.0,10,11,4,2,5000.0,0,0,8653.158,3,1
26,1,2,17,5,5,2.0,15,6,2,1,0.0,1050.446636418964,2058.764,7500.0,,-1,2,9000.0,2700,1000,1000.0,9,8,3,2,4500.0,0,0,8550.447,3,0
27,1,2,11,5,5,2.0,12,4,17,6,0.0,1350.2952888588095,2116.383,6000.0,,-1,2,9000.0,2700,1000,1000.0,6,5,2,2,3000.0,0,0,7350.295,3,0
28,1,1,7,5,5,2.0,14,3,11,4,0.0,1008.6821147025156,2047.1,7000.0,,-1,2,9000.0,2700,1000,1000.0,11,14,5,2,5500.0,0,0,8008.682,3,0
29,1,1,13,5,5,2.0,14,5,17,6,0.0,1039.097162334025,2195.142,7000.0,,-1,2,9000.0,2700,1000,1000.0,8,5,2,2,4000.0,0,0,8039.097,3,0
30,1,1,13,5,5,2.0,15,5,16,6,0.0,1122.4075178904416,2373.97,7500.0,,-1,1,9000.0,2700,1000,1000.0,11,2,1,2,5500.0,0,0,8622.408,3,0
31,1,1,4,6,6,1.2,17,2,5,2,0.0,2208.9751251276266,2233.397,14166.667,,-1,2,14999.993999999999,2700,1000,1000.0,11,11,4,2,9166.667,0,0,16375.642,3,1
32,1,3,12,6,6,1.2,15,4,15,5,1000.0,1673.135831464348,2060.605,12500.0,,-1,3,14999.993999999999,2700,1000,0.0,10,2,1,2,8333.333,1,1,14173.136,3,0
33,1,3,18,6,6,1.2,16,6,2,1,0.0,1813.9925140555756,2315.562,13333.333,,-1,2,14999.993999999999,2700,1000,1000.0,7,11,4,2,5833.333,0,0,15147.326,3,0
34,1,1,4,6,6,1.2,16,2,6,2,1000.0,1838.5492845602414,2274.256,13333.333,,-1,3,14999.993999999999,2700,1000,0.0,11,11,4,2,9166.667,1,1,15171.882,3,0
35,1,1,10,6,6,1.2,12,4,16,6,0.0,2436.1470734301442,2640.547,10000.0,,-1,1,14999.993999999999,2700,1000,1000.0,5,5,2,2,4166.667,0,0,12436.147,3,0
