runTrialId,run,startCatPos,startId,blockId,runBlockId,speed,distance,startCat,targetId,targetCat,probeDur,bufferDur,itiDur,ts,tp,direction,targetCatPos,speedCueDur,blinkFixDur,sampleDur,feedbackDur,probeDist,probeId,probeCat,probeCatPos,probe_ts,probe_loc,optionCat,movementDur,participantId,speedCueTrial
28,1,1,4,5,5,1.2,16,2,2,1,0.0,2304.9518400462002,2812.065,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,15638.285,1,0
29,1,1,10,5,5,1.2,14,4,6,2,0.0,2245.486841927581,2258.13,11666.667,,1,3,14999.993999999999,2700,1000,1000.0,7,17,6,2,5833.333,0,0,13912.154,1,0
30,1,2,2,5,5,1.2,14,1,16,6,0.0,1876.9514398517306,2329.29,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13543.618,1,0
31,1,2,17,6,6,2.0,15,6,14,5,1000.0,1474.6204795256422,2810.966,7500.0,,1,2,9000.0,2700,1000,0.0,12,11,4,2,6000.0,1,-1,8974.62,1,1
32,1,3,3,6,6,2.0,13,1,16,6,0.0,1179.9903115988352,2205.228,6500.0,,1,1,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7679.99,1,0
33,1,1,10,6,6,2.0,16,4,8,3,0.0,1076.726663829686,2438.993,8000.0,,1,2,9000.0,2700,1000,1000.0,10,2,1,2,5000.0,0,0,9076.727,1,0
34,1,1,16,6,6,2.0,12,6,10,4,1000.0,1000.1978742530107,2908.747,6000.0,,1,1,9000.0,2700,1000,0.0,7,5,2,2,3500.0,1,1,7000.198,1,0
35,1,1,13,6,6,2.0,15,5,10,4,0.0,1141.2861662985686,2589.506,7500.0,,1,1,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,8641.286,1,0
36,1,2,11,6,6,2.0,12,4,5,2,0.0,1414.0563969113243,2290.491,6000.0,,1,2,9000.0,2700,1000,1000.0,6,17,6,2,3000.0,0,0,7414.056,1,0
1,2,1,1,7,1,2.0,14,1,15,5,0.0,1329.546007751208,2201.692,7000.0,,1,3,9000.0,2700,1000,1000.0,10,11,4,2,5000.0,0,0,8329.546,1,1
2,2,2,11,7,1,2.0,13,4,6,2,0.0,1362.8325961754254,2043.048,6500.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,7862.833,1,0
3,2,2,11,7,1,2.0,13,4,6,2,0.0,1495.555397080005,2449.379,6500.0,,1,3,9000.0,2700,1000,1000.0,6,17,6,2,3000.0,0,0,7995.555,1,0
4,2,3,3,7,1,2.0,12,1,15,5,0.0,1191.2503683952552,2981.992,6000.0,,1,3,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,7191.25,1,0
5,2,2,2,7,1,2.0,12,1,14,5,0.0,1340.3604428553656,2069.625,6000.0,,1,2,9000.0,2700,1000,1000.0,9,11,4,2,4500.0,0,0,7340.36,1,0
6,2,1,4,7,1,2.0,15,2,1,1,0.0,1146.6301235823478,2731.883,7500.0,,1,1,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,8646.63,1,0
7,2,1,16,8,2,1.2,16,6,14,5,0.0,1673.6981596153528,2682.192,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,8,3,2,8333.333,0,0,15007.031,1,1
8,2,3,15,8,2,1.2,17,5,14,5,0.0,1832.0616771479765,2727.649,14166.667,,1,2,14999.993999999999,2700,1000,1000.0,14,11,4,2,11666.667,0,0,15998.729,1,0
9,2,3,18,8,2,1.2,14,6,14,5,0.0,2102.819194583821,2679.445,11666.667,,1,2,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,13769.486,1,0
10,2,3,9,8,2,1.2,15,3,6,2,0.0,1826.0098852306419,2622.491,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,11,2,1,2,9166.667,0,0,14326.01,1,0
11,2,2,14,8,2,1.2,12,5,8,3,1000.0,2358.080538914756,2483.749,10000.0,,1,2,14999.993999999999,2700,1000,0.0,9,5,2,2,7500.0,1,-1,12358.081,1,0
12,2,3,12,8,2,1.2,15,4,9,3,0.0,1723.5045408269093,2798.243,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,14223.505,1,0
13,2,2,5,9,3,2.0,14,2,1,1,0.0,1061.8779658210367,2391.534,7000.0,,1,1,9000.0,2700,1000,1000.0,9,14,5,2,4500.0,0,0,8061.878,1,1
14,2,1,16,9,3,2.0,12,6,10,4,0.0,1189.4507223130372,2101.034,6000.0,,1,1,9000.0,2700,1000,1000.0,7,5,2,2,3500.0,0,0,7189.451,1,0
15,2,1,7,9,3,2.0,14,3,3,1,0.0,1141.2734182402385,2574.988,7000.0,,1,3,9000.0,2700,1000,1000.0,10,17,6,2,5000.0,0,0,8141.273,1,0
16,2,1,4,9,3,2.0,16,2,2,1,0.0,1302.5799618144463,2336.461,8000.0,,1,2,9000.0,2700,1000,1000.0,13,17,6,2,6500.0,0,0,9302.58,1,0
17,2,2,11,9,3,2.0,16,4,9,3,0.0,1243.0886010562035,2008.533,8000.0,,1,3,9000.0,2700,1000,1000.0,9,2,1,2,4500.0,0,0,9243.089,1,0
18,2,2,8,9,3,2.0,12,3,2,1,0.0,1221.1911077662148,2149.999,6000.0,,1,2,9000.0,2700,1000,1000.0,9,17,6,2,4500.0,0,0,7221.191,1,0
19,2,1,4,10,4,1.2,12,2,16,6,0.0,2465.7900390561535,2439.263,10000.0,,1,1,14999.993999999999,2700,1000,1000.0,7,11,4,2,5833.333,0,0,12465.79,1,1
20,2,2,17,10,4,1.2,15,6,14,5,0.0,1896.7950352131438,2440.102,12500.0,,1,2,14999.993999999999,2700,1000,1000.0,6,5,2,2,5000.0,0,0,14396.795,1,0
21,2,3,3,10,4,1.2,14,1,17,6,0.0,2090.807235493767,2930.808,11666.667,,1,2,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,13757.474,1,0
22,2,3,12,10,4,1.2,13,4,7,3,0.0,2103.8804221934265,2589.828,10833.333,,1,1,14999.993999999999,2700,1000,1000.0,5,17,6,2,4166.667,0,0,12937.213,1,0
23,2,1,4,10,4,1.2,17,2,3,1,0.0,2228.6976674501343,2465.42,14166.667,,1,3,14999.993999999999,2700,1000,1000.0,10,14,5,2,8333.333,0,0,16395.365,1,0
24,2,2,2,10,4,1.2,14,1,16,6,0.0,1749.5857340784826,2820.612,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,11,4,2,7500.0,0,0,13416.253,1,0
25,2,2,17,11,5,2.0,16,6,15,5,1000.0,1006.7131037336133,2440.731,8000.0,,1,3,9000.0,2700,1000,0.0,9,8,3,2,4500.0,1,1,9006.713,1,1
26,2,3,15,11,5,2.0,17,5,14,5,1000.0,1209.1525910709847,2264.606,8500.0,,1,2,9000.0,2700,1000,0.0,11,8,3,2,5500.0,1,1,9709.153,1,0
27,2,1,13,11,5,2.0,17,5,12,4,0.0,1169.3856846479941,2412.012,8500.0,,1,3,9000.0,2700,1000,1000.0,10,5,2,2,5000.0,0,0,9669.386,1,0
28,2,2,5,11,5,2.0,15,2,2,1,1000.0,1303.180338790036,2357.93,7500.0,,1,2,9000.0,2700,1000,0.0,12,17,6,2,6000.0,1,-1,8803.18,1,0
29,2,3,9,11,5,2.0,14,3,5,2,0.0,1004.4877161178991,2116.535,7000.0,,1,2,9000.0,2700,1000,1000.0,8,17,6,2,4000.0,0,0,8004.488,1,0
30,2,3,15,11,5,2.0,15,5,12,4,0.0,1397.956589341186,2262.462,7500.0,,1,3,9000.0,2700,1000,1000.0,8,5,2,2,4000.0,0,0,8897.957,1,0
31,2,3,15,12,6,1.2,14,5,11,4,0.0,2180.7661325335935,2732.006,11666.667,,1,2,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,13847.433,1,1
32,2,1,13,12,6,1.2,13,5,8,3,0.0,1816.1183712980348,2733.818,10833.333,,1,2,14999.993999999999,2700,1000,1000.0,7,2,1,2,5833.333,0,0,12649.451,1,0
33,2,3,18,12,6,1.2,15,6,15,5,0.0,1733.1071387389422,2372.259,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,14233.107,1,0
34,2,1,13,12,6,1.2,16,5,11,4,0.0,1799.7742018654767,2569.864,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,5,2,2,8333.333,0,0,15133.107,1,0
35,2,1,4,12,6,1.2,17,2,3,1,1000.0,2254.067933817182,2296.261,14166.667,,1,3,14999.993999999999,2700,1000,0.0,10,14,5,2,8333.333,1,-1,16420.735,1,0
36,2,3,12,12,6,1.2,14,4,8,3,1000.0,1849.048982221495,2627.181,11666.667,,1,2,14999.993999999999,2700,1000,0.0,8,2,1,2,6666.667,1,-1,13515.716,1,0
1,3,1,16,13,1,1.2,15,6,13,5,0.0,1808.6359367144596,2138.417,12500.0,,1,1,14999.993999999999,2700,1000,1000.0,7,5,2,2,5833.333,0,0,14308.636,1,1
2,3,2,2,13,1,1.2,12,1,14,5,0.0,2161.305009714647,2507.109,10000.0,,1,2,14999.993999999999,2700,1000,1000.0,6,8,3,2,5000.0,0,0,12161.305,1,0
3,3,3,9,13,1,1.2,13,3,4,2,0.0,1725.238829501073,2841.599,10833.333,,1,1,14999.993999999999,2700,1000,1000.0,8,17,6,2,6666.667,0,0,12558.572,1,0
4,3,1,7,13,1,1.2,12,3,1,1,0.0,2156.2188263580606,2371.543,10000.0,,1,1,14999.993999999999,2700,1000,1000.0,7,14,5,2,5833.333,0,0,12156.219,1,0
5,3,3,3,13,1,1.2,12,1,15,5,1000.0,2480.1594684855877,2096.196,10000.0,,1,3,14999.993999999999,2700,1000,0.0,5,8,3,2,4166.667,1,-1,12480.159,1,0
6,3,2,11,13,1,1.2,14,4,7,3,0.0,1794.3710029711972,2878.964,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,2,1,2,7500.0,0,0,13461.038,1,0
7,3,3,9,14,2,2.0,15,3,6,2,1000.0,1047.8547577018655,2448.779,7500.0,,1,3,9000.0,2700,1000,0.0,8,17,6,2,4000.0,1,-1,8547.855,1,1
8,3,1,16,14,2,2.0,16,6,14,5,0.0,1456.6084015017734,2699.88,8000.0,,1,2,9000.0,2700,1000,1000.0,10,8,3,2,5000.0,0,0,9456.608,1,0
9,3,2,17,14,2,2.0,12,6,11,4,0.0,1451.262603082128,2020.734,6000.0,,1,2,9000.0,2700,1000,1000.0,6,5,2,2,3000.0,0,0,7451.263,1,0
10,3,1,7,14,2,2.0,13,3,2,1,0.0,1213.6152432931565,2886.132,6500.0,,1,2,9000.0,2700,1000,1000.0,7,14,5,2,3500.0,0,0,7713.615,1,0
11,3,1,1,14,2,2.0,13,1,14,5,0.0,1471.7125650955288,2925.997,6500.0,,1,2,9000.0,2700,1000,1000.0,7,8,3,2,3500.0,0,0,7971.713,1,0
12,3,1,4,14,2,2.0,13,2,17,6,0.0,1214.9739525083928,2798.946,6500.0,,1,2,9000.0,2700,1000,1000.0,7,11,4,2,3500.0,0,0,7714.974,1,0
13,3,3,15,15,3,1.2,12,5,9,3,0.0,1867.9023870261565,2644.742,10000.0,,1,3,14999.993999999999,2700,1000,1000.0,8,5,2,2,6666.667,0,0,11867.902,1,1
14,3,2,11,15,3,1.2,12,4,5,2,0.0,1910.0207796767168,2192.998,10000.0,,1,2,14999.993999999999,2700,1000,1000.0,6,17,6,2,5000.0,0,0,11910.021,1,0
15,3,3,18,15,3,1.2,16,6,16,6,0.0,2073.6723975141085,2593.456,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,15407.005,1,0
16,3,3,6,15,3,1.2,16,2,4,2,1000.0,2060.0561687683216,2912.904,13333.333,,1,1,14999.993999999999,2700,1000,0.0,11,17,6,2,9166.667,1,-1,15393.389,1,0
17,3,2,11,15,3,1.2,17,4,10,4,0.0,2074.128946306797,2907.472,14166.667,,1,1,14999.993999999999,2700,1000,1000.0,9,2,1,2,7500.0,0,0,16240.796,1,0
18,3,3,18,15,3,1.2,12,6,12,4,0.0,2176.465731424375,2844.592,10000.0,,1,3,14999.993999999999,2700,1000,1000.0,8,8,3,2,6666.667,0,0,12176.466,1,0
19,3,1,13,16,4,2.0,12,5,7,3,1000.0,1472.2698330104674,2124.713,6000.0,,1,1,9000.0,2700,1000,0.0,7,2,1,2,3500.0,1,1,7472.27,1,1
20,3,3,15,16,4,2.0,15,5,12,4,0.0,1176.673087854755,2742.646,7500.0,,1,3,9000.0,2700,1000,1000.0,11,8,3,2,5500.0,0,0,8676.673,1,0
21,3,2,8,16,4,2.0,17,3,7,3,0.0,1071.1546318353985,2988.349,8500.0,,1,1,9000.0,2700,1000,1000.0,9,17,6,2,4500.0,0,0,9571.155,1,0
22,3,1,1,16,4,2.0,16,1,17,6,0.0,1002.1856011208927,2315.216,8000.0,,1,2,9000.0,2700,1000,1000.0,10,11,4,2,5000.0,0,0,9002.186,1,0
23,3,2,14,16,4,2.0,13,5,9,3,0.0,1093.8922726365406,2689.869,6500.0,,1,3,9000.0,2700,1000,1000.0,9,5,2,2,4500.0,0,0,7593.892,1,0
24,3,3,15,16,4,2.0,14,5,11,4,0.0,1465.2014836880992,2112.212,7000.0,,1,2,9000.0,2700,1000,1000.0,8,5,2,2,4000.0,0,0,8465.201,1,0
25,3,3,3,17,5,1.2,16,1,1,1,0.0,1961.1712387946877,2718.372,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,15294.504,1,1
26,3,2,17,17,5,1.2,14,6,13,5,0.0,2112.3566810415887,2876.875,11666.667,,1,1,14999.993999999999,2700,1000,1000.0,9,8,3,2,7500.0,0,0,13779.024,1,0
27,3,1,13,17,5,1.2,13,5,8,3,0.0,2113.3787982323934,2917.018,10833.333,,1,2,14999.993999999999,2700,1000,1000.0,7,2,1,2,5833.333,0,0,12946.712,1,0
28,3,1,7,17,5,1.2,16,3,5,2,0.0,2140.943512170975,2563.802,13333.333,,1,2,14999.993999999999,2700,1000,1000.0,10,17,6,2,8333.333,0,0,15474.277,1,0
29,3,3,3,17,5,1.2,15,1,18,6,0.0,2182.7539173819246,2919.045,12500.0,,1,3,14999.993999999999,2700,1000,1000.0,8,11,4,2,6666.667,0,0,14682.754,1,0
30,3,1,10,17,5,1.2,15,4,7,3,0.0,1696.1177780081232,2741.71,12500.0,,1,1,14999.993999999999,2700,1000,1000.0,7,17,6,2,5833.333,0,0,14196.118,1,0
31,3,1,16,18,6,2.0,17,6,15,5,1000.0,1042.3022082981865,2190.612,8500.0,,1,3,9000.0,2700,1000,0.0,13,11,4,2,6500.0,1,-1,9542.302,1,1
32,3,1,13,18,6,2.0,13,5,8,3,1000.0,1029.9124445349823,2980.04,6500.0,,1,2,9000.0,2700,1000,0.0,7,2,1,2,3500.0,1,1,7529.912,1,0
33,3,2,5,18,6,2.0,17,2,4,2,0.0,1377.9462209469045,2694.215,8500.0,,1,1,9000.0,2700,1000,1000.0,12,17,6,2,6000.0,0,0,9877.946,1,0
34,3,2,2,18,6,2.0,17,1,1,1,0.0,1110.1449706886751,2221.337,8500.0,,1,1,9000.0,2700,1000,1000.0,12,14,5,2,6000.0,0,0,9610.145,1,0
35,3,3,12,18,6,2.0,16,4,10,4,0.0,1435.7216850635234,2417.829,8000.0,,1,1,9000.0,2700,1000,1000.0,11,5,2,2,5500.0,0,0,9435.722,1,0
36,3,1,4,18,6,2.0,14,2,18,6,0.0,1206.4773036965883,2068.855,7000.0,,1,3,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,8206.477,1,0
1,4,3,3,19,1,2.0,14,1,17,6,0.0,1138.0329338993636,2088.249,7000.0,,1,2,9000.0,2700,1000,1000.0,8,11,4,2,4000.0,0,0,8138.033,1,1
2,4,3,12,19,1,2.0,16,4,10,4,0.0,1387.7038484754698,2227.713,8000.0,,1,1,9000.0,2700,1000,1000.0,8,2,1,2,4000.0,0,0,9387.704,1,0
3,4,2,2,19,1,2.0,17,1,1,1,0.0,1308.2353522447002,2400.22,8500.0,,1,1,9000.0,2700,1000,1000.0,12,14,5,2,6000.0,0,0,9808.235,1,0
4,4,1,4,19,1,2.0,13,2,17,6,0.0,1146.6969611144618,2539.377,6500.0,,1,2,9000.0,2700,1000,1000.0,10,14,5,2,5000.0,0,0,7646.697,1,0
5,4,2,2,19,1,2.0,12,1,14,5,0.0,1192.3233554676983,2191.117,6000.0,,1,2,9000.0,2700,1000,1000.0,9,11,4,2,4500.0,0,0,7192.323,1,0
6,4,2,17,19,1,2.0,17,6,16,6,0.0,1404.5159258529475,2897.483,8500.0,,1,1,9000.0,2700,1000,1000.0,9,8,3,2,4500.0,0,0,9904.516,1,0
7,4,1,7,20,2,1.2,14,3,3,1,1000.0,1976.5494069718807,2344.097,11666.667,,1,3,14999.993999999999,2700,1000,0.0,7,14,5,2,5833.333,1,1,13643.216,1,1
8,4,3,12,20,2,1.2,12,4,6,2,0.0,1971.6892057091125,2816.924,10000.0,,1,3,14999.993999999999,2700,1000,1000.0,8,2,1,2,6666.667,0,0,11971.689,1,0
9,4,3,6,20,2,1.2,15,2,3,1,1000.0,2049.9666015755683,2693.145,12500.0,,1,3,14999.993999999999,2700,1000,0.0,11,17,6,2,9166.667,1,-1,14549.967,1,0
10,4,1,10,20,2,1.2,12,4,4,2,0.0,1978.081535053138,2766.791,10000.0,,1,1,14999.993999999999,2700,1000,1000.0,7,17,6,2,5833.333,0,0,11978.082,1,0
11,4,3,6,20,2,1.2,16,2,4,2,0.0,2414.6741052021603,2678.949,13333.333,,1,1,14999.993999999999,2700,1000,1000.0,8,14,5,2,6666.667,0,0,15748.007,1,0
