run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,target_cat,target_cat_pos,start_cat,start_cat_pos,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,15,1.6,face,1,face_1,1,1,3,5,2,1,2,3,1,1,11.25,2500,1000,1000,2317.7370585809745,0,1804.5418500169342,9375.0,18008.52890859791,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,hand,2,hand_2,2,2,1,2,16,8,2,1,2,1,0.0,2500,1000,1000,2832.156284314633,0,1246.515575388455,8750.0,17328.67185970309,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,animal,2,animal_2,3,3,4,8,4,2,2,4,2,1,0.0,2500,1000,1000,2117.9618800912576,0,1580.143122612096,8750.0,16948.105002703356,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,tool,1,tool_1,4,4,5,9,6,3,2,5,1,1,0.0,2500,1000,1000,2473.313787602874,0,1348.4029091716504,9375.0,17696.716696774525,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,house,2,house_2,5,5,2,4,18,9,2,2,2,1,0.0,2500,1000,1000,2965.169765295137,1000,1537.6354085874527,8750.0,18752.80517388259,1,1,8,12,6,2,5000.0,7.0,1.0,13.0,1,-1.0,1,1
1,1,13,1.6,leg,2,leg_2,6,6,6,12,7,4,1,6,2,1,0.0,2500,1000,1000,2460.9651552405744,0,1443.683309916919,8125.0,16529.648465157494,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,shape,1,shape_1,7,7,9,17,12,6,2,9,1,1,0.0,2500,1000,1000,2955.793650603551,1000,1272.1888420570829,8125.0,17852.982492660634,1,1,7,6,3,2,4375.0,4.0,1.0,7.0,-1,1.0,1,1
1,1,16,1.6,food,2,food_2,8,8,8,16,14,7,2,8,2,1,0.0,2500,1000,1000,2209.8341162061733,0,1539.7723389918872,10000.0,18249.60645519806,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,object,1,object_1,9,9,7,13,12,6,2,7,1,1,0.0,2500,1000,1000,2937.668173990952,1000,1339.93416582167,10625.0,20402.60233981262,1,1,11,6,3,2,6875.0,4.0,1.0,7.0,-1,1.0,1,1
1,2,17,2.0,object,2,object_2,10,10,7,14,13,7,1,7,2,1,9.0,2500,1000,1000,2642.5151200713044,0,1160.6834200768515,8500.0,16812.198540148158,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,face,1,face_1,11,11,3,5,4,2,2,3,1,1,0.0,2500,1000,1000,2822.8846522442536,0,1206.3198039754168,8500.0,17029.204456219668,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,13,2.0,leg,2,leg_2,12,12,6,12,7,4,1,6,2,1,0.0,2500,1000,1000,2750.649019661077,0,1071.9229403104403,6500.0,14822.571959971518,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,12,2.0,tool,1,tool_1,13,13,5,9,3,2,1,5,1,1,0.0,2500,1000,1000,2328.970929876971,1000,1280.577602837398,6000.0,15109.548532714369,1,1,6,15,8,1,3000.0,9.0,2.0,18.0,1,-1.0,1,1
1,2,12,2.0,animal,1,animal_1,14,14,4,7,1,1,1,4,1,1,0.0,2500,1000,1000,2812.2907369874633,0,1421.4548962030037,6000.0,14733.745633190467,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,shape,1,shape_1,15,15,9,17,15,8,1,9,1,1,0.0,2500,1000,1000,2415.066874505828,0,1127.6991277011527,8000.0,16042.766002206981,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,hand,2,hand_2,16,16,1,2,18,9,2,1,2,1,0.0,2500,1000,1000,2996.6751075141083,0,1448.056580366865,8000.0,16944.731687880972,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,14,2.0,house,1,house_1,17,17,2,3,17,9,1,2,1,1,0.0,2500,1000,1000,2305.4249875150244,0,1461.333699699543,7000.0,15266.758687214568,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,15,2.0,food,1,food_1,18,18,8,15,12,6,2,8,1,1,0.0,2500,1000,1000,2824.7617398224966,0,1290.221959508407,7500.0,16114.983699330904,1,0,0,0,0,0,0.0,,,,0,,1,1
1,3,16,1.6,tool,2,tool_2,19,19,5,10,8,4,2,5,2,1,11.25,2500,1000,1000,2486.3280663920377,1000,1244.2497687262692,10000.0,19241.827835118307,0,1,10,2,1,2,6250.0,2.0,1.0,3.0,1,-1.0,1,1
1,3,12,1.6,shape,2,shape_2,20,20,9,18,12,6,2,9,2,1,0.0,2500,1000,1000,2087.228605376517,0,1661.4584857903842,7500.0,15748.687091166901,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,17,1.6,face,2,face_2,21,21,3,6,5,3,1,3,2,1,0.0,2500,1000,1000,2827.5718832136968,0,1304.6943607446797,10625.0,19257.266243958376,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,12,1.6,house,1,house_1,22,22,2,3,15,8,1,2,1,1,0.0,2500,1000,1000,2034.4234508918958,0,1448.3043125394297,7500.0,15482.727763431325,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,17,1.6,object,2,object_2,23,23,7,14,13,7,1,7,2,1,0.0,2500,1000,1000,2880.1136565700394,0,1389.0628813206981,10625.0,19394.176537890737,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,16,1.6,food,1,food_1,24,24,8,15,13,7,1,8,1,1,0.0,2500,1000,1000,2940.080408677125,0,1750.910847231396,10000.0,19190.99125590852,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,12,1.6,hand,1,hand_1,25,25,1,1,13,7,1,1,1,1,0.0,2500,1000,1000,2490.6257516241594,0,1671.5371188284018,7500.0,16162.162870452561,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,15,1.6,animal,1,animal_1,26,26,4,7,4,2,2,4,1,1,0.0,2500,1000,1000,2114.7901152685577,0,1335.816142639927,9375.0,17325.606257908483,0,0,0,0,0,0,0.0,,,,0,,1,1
1,3,13,1.6,leg,1,leg_1,27,27,6,11,6,3,2,6,1,1,0.0,2500,1000,1000,2148.365435468748,0,1802.1488983557347,8125.0,16575.51433382448,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,15,2.0,house,2,house_2,28,28,2,4,1,1,1,2,2,1,9.0,2500,1000,1000,2635.6032853741344,0,1341.120016591514,7500.0,15985.723301965649,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,tool,2,tool_2,29,29,5,10,6,3,2,5,2,1,0.0,2500,1000,1000,2764.3367480617835,0,1171.7835568412838,7000.0,15436.120304903066,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,13,2.0,hand,1,hand_1,30,30,1,1,14,7,2,1,1,1,0.0,2500,1000,1000,2816.992839464964,0,1014.3771553551861,6500.0,14831.36999482015,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,15,2.0,shape,2,shape_2,31,31,9,18,15,8,1,9,2,1,0.0,2500,1000,1000,2183.340815181563,0,1253.1294398745817,7500.0,15436.470255056145,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,object,1,object_1,32,32,7,13,9,5,1,7,1,1,0.0,2500,1000,1000,2651.781897570502,0,1154.0484347085953,7000.0,15305.830332279098,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,12,2.0,face,2,face_2,33,33,3,6,18,9,2,3,2,1,0.0,2500,1000,1000,2246.4017027543905,0,1158.186862452061,6000.0,13904.588565206452,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,13,2.0,food,2,food_2,34,34,8,16,11,6,1,8,2,1,0.0,2500,1000,1000,2839.51926865114,0,1236.18477262469,6500.0,15075.70404127583,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,16,2.0,leg,1,leg_1,35,35,6,11,9,5,1,6,1,1,0.0,2500,1000,1000,2976.4984770125284,0,1389.875574605626,8000.0,16866.374051618157,0,0,0,0,0,0,0.0,,,,0,,1,1
1,4,17,2.0,animal,2,animal_2,36,36,4,8,7,4,1,4,2,1,0.0,2500,1000,1000,2822.420935810206,1000,1079.2211984542823,8500.0,17901.64213426449,0,1,10,18,9,2,5000.0,10.0,1.0,19.0,1,-1.0,1,1
2,1,12,2.0,face,1,face_1,1,37,3,5,17,9,1,3,1,1,9.0,2500,1000,1000,2333.7668588812057,0,1002.1363404032642,6000.0,13844.90319928447,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,15,2.0,house,1,house_1,2,38,2,3,18,9,2,2,1,1,0.0,2500,1000,1000,2684.951681187388,0,1316.3809888069666,7500.0,16001.332669994355,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,12,2.0,object,2,object_2,3,39,7,14,8,4,2,7,2,1,0.0,2500,1000,1000,2160.566138695568,0,1181.6209980836582,6000.0,13842.187136779226,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,12,2.0,animal,2,animal_2,4,40,4,8,2,1,2,4,2,1,0.0,2500,1000,1000,2933.0555708007305,0,1126.548638822584,6000.0,14559.604209623314,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,13,2.0,tool,1,tool_1,5,41,5,9,4,2,2,5,1,1,0.0,2500,1000,1000,2926.9051920613965,1000,1068.9641251501914,6500.0,15995.869317211587,1,1,6,15,8,1,3000.0,9.0,2.0,18.0,1,-1.0,1,1
2,1,17,2.0,shape,1,shape_1,6,42,9,17,16,8,2,9,1,1,0.0,2500,1000,1000,2689.300514195705,0,1400.3889723991763,8500.0,17089.68948659488,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,14,2.0,hand,1,hand_1,7,43,1,1,15,8,1,1,1,1,0.0,2500,1000,1000,2100.680588855066,0,1118.1257145265045,7000.0,14718.80630338157,1,0,0,0,0,0,0.0,,,,0,,1,1
