run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
1,4,13,2.0,object,2,object_2,33,33,5,10,5,1,1,9.0,2500,1000,1000,2506.0936145356864,0,1428.410381174559,6500.0,14943.503995710245,0,0
1,4,12,2.0,shapes,1,shapes_1,34,34,8,15,9,1,1,9.0,2500,1000,1000,2009.9420751676319,0,1272.1675800405142,6000.0,13791.109655208145,0,0
1,4,15,2.0,food,2,food_2,35,35,6,12,9,1,1,9.0,2500,1000,1000,2205.192008383464,0,1086.992044367734,7500.0,15301.184052751198,0,0
1,4,14,2.0,leg,2,leg_2,36,36,3,6,2,2,1,9.0,2500,1000,1000,2418.786978924792,0,1453.5234393382257,7000.0,15381.310418263018,0,0
2,1,12,2.0,hands,2,hands_2,1,37,7,14,8,2,1,9.0,2500,1000,1000,2280.2519428848987,0,1128.0342787300735,6000.0,13917.286221614973,0,0
2,1,13,2.0,house,1,house_1,2,38,2,3,16,2,1,9.0,2500,1000,1000,2238.046109803425,0,1199.536131492277,6500.0,14446.582241295702,0,0
2,1,13,2.0,shapes,1,shapes_1,3,39,8,15,10,2,1,9.0,2500,1000,1000,2721.042510023618,1000,1053.6317586586874,6500.0,15783.674268682305,0,0
2,1,17,2.0,animals,1,animals_1,4,40,9,17,16,2,1,9.0,2500,1000,1000,2395.191534038075,0,1097.4844836281247,8500.0,16501.6760176662,0,0
2,1,15,2.0,leg,2,leg_2,5,41,3,6,3,1,1,9.0,2500,1000,1000,2097.9416200999794,0,1262.3653611014163,7500.0,15369.306981201396,0,0
2,1,14,2.0,object,2,object_2,6,42,5,10,6,2,1,9.0,2500,1000,1000,2770.0624411627186,0,1170.7082247805724,7000.0,15449.770665943292,0,0
2,1,12,2.0,face,1,face_1,7,43,1,1,13,1,1,9.0,2500,1000,1000,2024.0025967341023,0,1175.0967643456697,6000.0,13708.099361079772,0,0
2,1,15,2.0,tool,2,tool_2,8,44,4,8,5,1,1,9.0,2500,1000,1000,2634.3595893008983,0,1488.7156608973535,7500.0,16132.075250198252,0,0
2,1,16,2.0,food,2,food_2,9,45,6,12,10,2,1,9.0,2500,1000,1000,2094.100677674869,1000,1133.7885191682385,8000.0,16736.889196843105,0,0
2,2,14,1.6,house,1,house_1,10,46,2,3,17,1,1,11.25,2500,1000,1000,2972.8376538738517,0,1579.0842142033398,8750.0,17813.171868077192,0,0
2,2,13,1.6,hands,2,hands_2,11,47,7,14,9,1,1,11.25,2500,1000,1000,2157.6223184080877,1000,1680.8289542823254,8125.0,17474.701272690414,0,0
2,2,13,1.6,object,1,object_1,12,48,5,9,4,2,1,11.25,2500,1000,1000,2700.7815554130075,0,1289.896892080951,8125.0,16626.928447493956,0,0
2,2,12,1.6,shapes,1,shapes_1,13,49,8,15,9,1,1,11.25,2500,1000,1000,2489.709408567393,0,1371.133419644544,7500.0,15872.092828211937,0,0
2,2,15,1.6,face,2,face_2,14,50,1,2,17,1,1,11.25,2500,1000,1000,2723.695021721879,0,1651.780324872082,9375.0,18261.72534659396,0,0
2,2,16,1.6,animals,2,animals_2,15,51,9,18,16,2,1,11.25,2500,1000,1000,2461.743046493809,0,1782.7064509641589,10000.0,18755.69949745797,0,0
2,2,15,1.6,tool,1,tool_1,16,52,4,7,4,2,1,11.25,2500,1000,1000,2773.6624979610965,0,1364.3192299862997,9375.0,18024.231727947397,0,0
2,2,14,1.6,food,1,food_1,17,53,6,11,7,1,1,11.25,2500,1000,1000,2830.174588932042,0,1265.8303422484883,8750.0,17357.25493118053,0,0
2,2,15,1.6,leg,1,leg_1,18,54,3,5,2,2,1,11.25,2500,1000,1000,2675.227629633297,0,1418.204953570826,9375.0,17979.68258320412,0,0
2,3,17,2.0,object,1,object_1,19,55,5,9,8,2,1,9.0,2500,1000,1000,2510.369137344749,0,1048.4522499123889,8500.0,16567.821387257136,0,0
2,3,15,2.0,face,2,face_2,20,56,1,2,17,1,1,9.0,2500,1000,1000,2323.806041397629,0,1406.207065828794,7500.0,15739.013107226423,0,0
2,3,13,2.0,leg,1,leg_1,21,57,3,5,18,2,1,9.0,2500,1000,1000,2580.481538128552,0,1490.4769429589069,6500.0,15079.958481087458,0,0
2,3,14,2.0,hands,1,hands_1,22,58,7,13,9,1,1,9.0,2500,1000,1000,2720.821145225974,0,1143.1263078780094,7000.0,15372.947453103983,0,0
2,3,16,2.0,shapes,2,shapes_2,23,59,8,16,14,2,1,9.0,2500,1000,1000,2396.9627146595135,0,1338.1396952725586,8000.0,16244.102409932073,0,0
2,3,17,2.0,animals,2,animals_2,24,60,9,18,17,1,1,9.0,2500,1000,1000,2794.039871175296,0,1028.160075196263,8500.0,16831.19994637156,0,0
2,3,16,2.0,house,2,house_2,25,61,2,4,2,2,1,9.0,2500,1000,1000,2791.1793693974128,1000,1280.796306000977,8000.0,17580.97567539839,0,0
2,3,14,2.0,food,1,food_1,26,62,6,11,7,1,1,9.0,2500,1000,1000,2721.4742950415334,0,1189.3380789479997,7000.0,15419.812373989533,0,0
2,3,12,2.0,tool,1,tool_1,27,63,4,7,1,1,1,9.0,2500,1000,1000,2523.6808146129574,0,1229.6083142472014,6000.0,14262.289128860159,0,0
2,4,13,1.6,shapes,2,shapes_2,28,64,8,16,11,1,1,11.25,2500,1000,1000,2799.156412502977,1000,1584.3264868154206,8125.0,18019.7328993184,0,0
2,4,16,1.6,face,1,face_1,29,65,1,1,17,1,1,11.25,2500,1000,1000,2072.835252444339,1000,1321.9789600409836,10000.0,18906.064212485322,0,0
2,4,12,1.6,animals,1,animals_1,30,66,9,17,11,1,1,11.25,2500,1000,1000,2842.56202039116,0,1394.8500278804916,7500.0,16248.662048271652,0,0
2,4,14,1.6,hands,1,hands_1,31,67,7,13,9,1,1,11.25,2500,1000,1000,2889.6165203580276,0,1648.752968851056,8750.0,17799.619489209086,0,0
2,4,17,1.6,tool,2,tool_2,32,68,4,8,7,1,1,11.25,2500,1000,1000,2686.7952765062596,0,1633.3635501587808,10625.0,19456.408826665043,0,0
2,4,17,1.6,object,2,object_2,33,69,5,10,9,1,1,11.25,2500,1000,1000,2113.4913979595044,0,1583.7205214789378,10625.0,18833.461919438443,0,0
2,4,16,1.6,leg,2,leg_2,34,70,3,6,4,2,1,11.25,2500,1000,1000,2975.895260415613,0,1616.566780430993,10000.0,19103.712040846607,0,0
2,4,12,1.6,food,2,food_2,35,71,6,12,6,2,1,11.25,2500,1000,1000,2352.3949000992693,0,1250.7271369516554,7500.0,15614.372037050925,0,0
2,4,17,1.6,house,2,house_2,36,72,2,4,3,1,1,11.25,2500,1000,1000,2940.8991048287694,0,1775.7246115243233,10625.0,19852.873716353093,0,0
3,1,14,1.6,hands,2,hands_2,1,73,7,14,10,2,1,11.25,2500,1000,1000,2521.6421306270777,0,1343.7111600302956,8750.0,17126.603290657375,0,0
3,1,12,1.6,object,2,object_2,2,74,5,10,4,2,1,11.25,2500,1000,1000,2834.63600328874,0,1397.4096951536437,7500.0,16243.295698442384,0,0
