run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,3,16,1.6,food,2,food_2,23,23,8,16,14,2,1,0.0,2500,1000,1000,2146.868217872707,0,1272.9105167093148,10000.0,17919.77873458202,0,7,2,8,2,0,0,0,0,0,0.0,,,,0,,1,1
1,3,12,1.6,object,2,object_2,24,24,7,14,8,2,1,0.0,2500,1000,1000,2054.2284963967663,0,1453.5842036371919,7500.0,15507.81270003396,0,4,2,7,2,0,0,0,0,0,0.0,,,,0,,1,1
1,3,14,1.6,hand,2,hand_2,25,25,1,2,16,2,1,0.0,2500,1000,1000,2341.027042758119,0,1308.1946094024515,8750.0,16899.22165216057,0,8,2,1,2,0,0,0,0,0,0.0,,,,0,,1,1
1,3,13,1.6,leg,1,leg_1,26,26,6,11,6,2,1,0.0,2500,1000,1000,2427.2950030981583,0,1854.5595437033135,8125.0,16906.85454680147,0,3,2,6,1,0,0,0,0,0,0.0,,,,0,,1,1
1,3,15,1.6,house,1,house_1,27,27,2,3,18,2,1,0.0,2500,1000,1000,2767.4814926114777,0,1264.8546862146084,9375.0,17907.336178826088,0,9,2,2,1,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,face,2,face_2,28,28,3,6,2,2,1,9.0,2500,1000,1000,2909.015587183728,0,1138.7314955783324,7000.0,15556.74708276206,0,1,2,3,2,0,0,0,0,0,0.0,,,,0,,1,1
1,4,17,2.0,shape,2,shape_2,29,29,9,18,17,1,1,0.0,2500,1000,1000,2746.035718545292,0,1335.358890128448,8500.0,17081.39460867374,0,9,1,9,2,0,0,0,0,0,0.0,,,,0,,1,1
1,4,13,2.0,hand,1,hand_1,30,30,1,1,14,2,1,0.0,2500,1000,1000,2467.2153169124836,0,1392.6512545838168,6500.0,14859.866571496299,0,7,2,1,1,0,0,0,0,0,0.0,,,,0,,1,1
1,4,14,2.0,tool,2,tool_2,31,31,5,10,6,2,1,0.0,2500,1000,1000,2003.684406478703,0,1109.3645433786382,7000.0,14613.04894985734,0,3,2,5,2,0,0,0,0,0,0.0,,,,0,,1,1
1,4,12,2.0,food,1,food_1,32,32,8,15,9,1,1,0.0,2500,1000,1000,2315.5147499320083,0,1097.0746610100023,6000.0,13912.589410942011,0,5,1,8,1,0,0,0,0,0,0.0,,,,0,,1,1
1,4,15,2.0,object,1,object_1,33,33,7,13,10,2,1,0.0,2500,1000,1000,2421.6549576605366,0,1031.6095146121322,7500.0,15453.264472272669,0,5,2,7,1,0,0,0,0,0,0.0,,,,0,,1,1
1,4,16,2.0,animal,2,animal_2,34,34,4,8,6,2,1,0.0,2500,1000,1000,2058.2599292595396,1000,1038.457430025443,8000.0,16596.717359284983,0,3,2,4,2,1,12,2,1,2,6000.0,2.0,1.0,3.0,-1,1.0,1,1
1,4,16,2.0,leg,2,leg_2,35,35,6,12,10,2,1,0.0,2500,1000,1000,2831.7315692104603,0,1251.7773577464952,8000.0,16583.508926956958,0,5,2,6,2,0,0,0,0,0,0.0,,,,0,,1,1
1,4,12,2.0,house,1,house_1,36,36,2,3,15,1,1,0.0,2500,1000,1000,2638.0174387640136,1000,1199.004946466109,6000.0,15337.022385230122,0,8,1,2,1,1,6,9,5,1,3000.0,6.0,2.0,12.0,1,-1.0,1,1
2,1,16,2.0,shape,1,shape_1,1,37,9,17,15,1,1,9.0,2500,1000,1000,2574.1035337366056,0,1255.8179704268773,8000.0,16338.921504163483,1,8,1,9,1,0,0,0,0,0,0.0,,,,0,,1,1
2,1,17,2.0,object,2,object_2,2,38,7,14,13,1,1,0.0,2500,1000,1000,2680.2913616226456,0,1019.9416947609137,8500.0,16700.233056383557,1,7,1,7,2,0,0,0,0,0,0.0,,,,0,,1,1
2,1,14,2.0,leg,1,leg_1,3,39,6,11,7,1,1,0.0,2500,1000,1000,2710.009610371061,0,1437.957797086346,7000.0,15647.967407457407,1,4,1,6,1,0,0,0,0,0,0.0,,,,0,,1,1
