run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,12,1.6,face,2,face_2,1,1,3,6,18,2,1,11.25,2500,1000,1000,2654.852510151034,0,1620.5540749862016,7500.0,16286.656585137236,1,9,2,3,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,food,2,food_2,2,2,8,16,11,1,1,0.0,2500,1000,1000,2422.758949729913,0,1573.17673921483,8125.0,16620.935688944744,1,6,1,8,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,leg,2,leg_2,3,3,6,12,7,1,1,0.0,2500,1000,1000,2149.918778374372,1000,1384.8358081281478,8125.0,17159.75458650252,1,4,1,6,2,1,8,2,1,2,5000.0,2.0,1.0,3.0,1,-1.0,1,1
1,1,17,1.6,object,2,object_2,4,4,7,14,13,1,1,0.0,2500,1000,1000,2083.957999906789,0,1355.5472489639544,10625.0,18564.505248870744,1,7,1,7,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,animal,2,animal_2,5,5,4,8,4,2,1,0.0,2500,1000,1000,2496.3480559472137,0,1396.0841496230958,8750.0,17142.43220557031,1,2,2,4,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,tool,1,tool_1,6,6,5,9,5,1,1,0.0,2500,1000,1000,2500.0088054829134,0,1432.8950602277366,8750.0,17182.90386571065,1,3,1,5,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,16,1.6,hand,2,hand_2,7,7,1,2,18,2,1,0.0,2500,1000,1000,2389.560683909079,0,1760.1586662853015,10000.0,18649.71935019438,1,9,2,1,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,14,1.6,shape,2,shape_2,8,8,9,18,14,2,1,0.0,2500,1000,1000,2721.674213085351,0,1377.8249732996674,8750.0,17349.49918638502,1,7,2,9,2,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,house,2,house_2,9,9,2,4,1,1,1,0.0,2500,1000,1000,2087.939444511314,0,1797.213112793839,9375.0,17760.152557305155,1,1,1,2,2,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,object,2,object_2,10,10,7,14,13,1,1,9.0,2500,1000,1000,2759.6556106719995,0,1321.45440668884,8500.0,17090.11001736084,1,7,1,7,2,0,0,0,0,0,0.0,,,,0,,1,1
