run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,target_cat,target_cat_pos,start_cat,start_cat_pos,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
1,1,13,1.6,face,2,face_2,1,1,3,6,1,1,1,3,2,1,11.25,2500,1000,1000,2206.9163356427525,0,1700.661530047766,8125.0,16543.827865690517,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,food,2,food_2,2,2,8,16,13,7,1,8,2,1,0.0,2500,1000,1000,2944.487317614825,0,1846.2588800812873,9375.0,18665.746197696113,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,animal,1,animal_1,3,3,4,7,2,1,2,4,1,1,0.0,2500,1000,1000,2251.250697607846,0,1577.946988860745,8125.0,16454.197686468593,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,shape,1,shape_1,4,4,9,17,16,8,2,9,1,1,0.0,2500,1000,1000,2256.956222292621,0,1856.7034674010706,10625.0,19238.65968969369,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,13,1.6,object,2,object_2,5,5,7,14,9,5,1,7,2,1,0.0,2500,1000,1000,2931.5792130028017,0,1620.8047773962137,8125.0,17177.383990399016,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,15,1.6,leg,2,leg_2,6,6,6,12,9,5,1,6,2,1,0.0,2500,1000,1000,2022.7460150659672,0,1654.6042153534056,9375.0,17552.35023041937,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,17,1.6,hand,1,hand_1,7,7,1,1,18,9,2,1,1,1,0.0,2500,1000,1000,2913.1703003004577,0,1285.5125880757537,10625.0,19323.682888376214,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,16,1.6,tool,2,tool_2,8,8,5,10,8,4,2,5,2,1,0.0,2500,1000,1000,2349.5324728368096,0,1587.623964214063,10000.0,18437.15643705087,1,0,0,0,0,0,0.0,,,,0,,1,1
1,1,12,1.6,house,1,house_1,9,9,2,3,15,8,1,2,1,1,0.0,2500,1000,1000,2030.2129543026879,0,1756.6657193069727,7500.0,15786.87867360966,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,house,1,house_1,10,10,2,3,1,1,1,2,1,1,9.0,2500,1000,1000,2096.2439047442936,1000,1044.796539632725,8000.0,16650.040444377017,1,1,8,11,6,1,4000.0,7.0,2.0,14.0,1,-1.0,1,1
1,2,15,2.0,object,1,object_1,11,11,7,13,10,5,2,7,1,1,0.0,2500,1000,1000,2893.312594781855,0,1156.230531860865,7500.0,16049.54312664272,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,17,2.0,animal,2,animal_2,12,12,4,8,7,4,1,4,2,1,0.0,2500,1000,1000,2971.27370080983,0,1239.829011828348,8500.0,17211.102712638178,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,14,2.0,tool,1,tool_1,13,13,5,9,5,3,1,5,1,1,0.0,2500,1000,1000,2232.447871091575,0,1265.109795830216,7000.0,14997.557666921792,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,12,2.0,face,2,face_2,14,14,3,6,18,9,2,3,2,1,0.0,2500,1000,1000,2961.1746527481178,1000,1242.457587974908,6000.0,15703.632240723025,1,1,6,12,6,2,3000.0,7.0,1.0,13.0,-1,1.0,1,1
1,2,17,2.0,food,2,food_2,15,15,8,16,15,8,1,8,2,1,0.0,2500,1000,1000,2437.3846099420994,0,1138.0448122443017,8500.0,16575.4294221864,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,hand,2,hand_2,16,16,1,2,18,9,2,1,2,1,0.0,2500,1000,1000,2580.1195984290853,0,1429.3740417787744,8000.0,16509.49364020786,1,0,0,0,0,0,0.0,,,,0,,1,1
1,2,16,2.0,shape,2,shape_2,17,17,9,18,16,8,2,9,2,1,0.0,2500,1000,1000,2909.2581843892676,0,1151.0352370132675,8000.0,16560.293421402537,1,0,0,0,0,0,0.0,,,,0,,1,1
